Radionuclide	Co-60m
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.01 µm	7.8E-12	Male	7.7E-14	5.7E-14	6.3E-11	9.6E-14	5.3E-14	0.0E+0	2.7E-14	4.2E-14	1.2E-13	1.8E-13	5.9E-14	7.4E-14	3.9E-14	4.0E-14	2.8E-14	1.3E-13	6.5E-13	1.5E-13	9.9E-14	1.8E-13	7.4E-14	4.1E-14	5.4E-14	1.0E-13	4.2E-14	5.4E-14	7.6E-14	8.0E-14	0.0E+0
		Female	9.6E-14	5.5E-14	6.6E-11	1.1E-13	6.2E-14	5.0E-14	0.0E+0	4.5E-14	1.4E-13	2.1E-13	7.1E-14	9.4E-14	5.1E-14	5.6E-14	3.3E-14	1.7E-13	8.1E-13	1.8E-13	1.2E-13	2.1E-13	8.9E-14	5.0E-14	7.4E-14	1.2E-13	0.0E+0	6.7E-14	8.9E-14	9.9E-14	4.9E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.03 µm	4.1E-12	Male	6.0E-14	4.4E-14	3.3E-11	6.9E-14	4.1E-14	0.0E+0	2.1E-14	3.3E-14	8.4E-14	1.4E-13	4.6E-14	5.7E-14	3.0E-14	3.0E-14	2.2E-14	1.0E-13	3.2E-13	1.2E-13	7.8E-14	1.4E-13	5.5E-14	3.2E-14	3.8E-14	7.8E-14	3.3E-14	4.1E-14	6.0E-14	6.3E-14	0.0E+0
		Female	7.5E-14	4.2E-14	3.5E-11	8.2E-14	4.9E-14	3.8E-14	0.0E+0	3.4E-14	1.0E-13	1.7E-13	5.4E-14	7.3E-14	3.9E-14	4.2E-14	2.5E-14	1.3E-13	4.0E-13	1.4E-13	9.9E-14	1.6E-13	6.6E-14	3.9E-14	5.2E-14	9.0E-14	0.0E+0	5.1E-14	7.0E-14	7.8E-14	3.7E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.1 µm	2.0E-12	Male	3.0E-14	2.2E-14	1.6E-11	3.7E-14	2.1E-14	0.0E+0	1.0E-14	1.6E-14	4.4E-14	7.0E-14	2.3E-14	2.9E-14	1.5E-14	1.5E-14	1.1E-14	5.2E-14	2.3E-13	6.0E-14	3.9E-14	6.9E-14	2.8E-14	1.6E-14	2.1E-14	3.9E-14	1.6E-14	2.1E-14	3.0E-14	3.2E-14	0.0E+0
		Female	3.7E-14	2.1E-14	1.7E-11	4.3E-14	2.5E-14	1.9E-14	0.0E+0	1.7E-14	5.5E-14	8.3E-14	2.7E-14	3.7E-14	2.0E-14	2.2E-14	1.3E-14	6.6E-14	2.8E-13	7.1E-14	4.9E-14	8.1E-14	3.4E-14	2.0E-14	2.8E-14	4.5E-14	0.0E+0	2.6E-14	3.5E-14	3.9E-14	1.9E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.3 µm	1.4E-12	Male	2.2E-14	1.7E-14	1.1E-11	3.3E-14	1.5E-14	0.0E+0	7.6E-15	1.2E-14	4.0E-14	5.1E-14	1.7E-14	2.1E-14	1.2E-14	1.2E-14	8.2E-15	3.8E-14	3.7E-13	4.4E-14	2.9E-14	5.0E-14	2.3E-14	1.2E-14	1.9E-14	2.9E-14	1.2E-14	1.6E-14	2.2E-14	2.3E-14	0.0E+0
		Female	2.8E-14	1.6E-14	1.1E-11	3.7E-14	1.8E-14	1.4E-14	0.0E+0	1.3E-14	4.8E-14	6.1E-14	2.1E-14	2.7E-14	1.5E-14	1.7E-14	9.4E-15	4.8E-14	4.6E-13	5.2E-14	3.6E-14	6.0E-14	2.6E-14	1.4E-14	2.7E-14	3.4E-14	0.0E+0	2.0E-14	2.6E-14	2.9E-14	1.4E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 1 µm	9.7E-13	Male	1.9E-14	1.8E-14	7.5E-12	5.4E-14	1.3E-14	0.0E+0	6.5E-15	1.1E-14	6.7E-14	4.4E-14	1.6E-14	1.9E-14	1.3E-14	1.3E-14	8.0E-15	3.3E-14	1.2E-12	3.8E-14	2.4E-14	4.4E-14	2.9E-14	1.0E-14	3.4E-14	2.7E-14	1.0E-14	1.6E-14	2.0E-14	1.9E-14	0.0E+0
		Female	2.4E-14	1.8E-14	8.1E-12	5.8E-14	1.5E-14	1.4E-14	0.0E+0	1.2E-14	7.9E-14	5.2E-14	2.1E-14	2.4E-14	1.6E-14	2.0E-14	8.6E-15	4.2E-14	1.5E-12	4.5E-14	3.0E-14	5.2E-14	2.9E-14	1.3E-14	5.0E-14	3.1E-14	0.0E+0	2.0E-14	2.4E-14	2.4E-14	1.4E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 3 µm	1.0E-12	Male	1.9E-14	2.1E-14	7.8E-12	8.1E-14	1.3E-14	0.0E+0	6.4E-15	1.1E-14	1.0E-13	4.4E-14	1.7E-14	1.9E-14	1.6E-14	1.5E-14	8.9E-15	3.3E-14	2.2E-12	3.9E-14	2.4E-14	4.4E-14	3.9E-14	1.0E-14	5.3E-14	2.9E-14	1.1E-14	1.9E-14	2.0E-14	1.8E-14	0.0E+0
		Female	2.4E-14	2.1E-14	8.4E-12	8.4E-14	1.5E-14	1.5E-14	0.0E+0	1.3E-14	1.2E-13	5.2E-14	2.3E-14	2.5E-14	1.9E-14	2.6E-14	9.1E-15	4.2E-14	2.7E-12	4.5E-14	2.8E-14	5.3E-14	3.5E-14	1.3E-14	7.8E-14	3.3E-14	0.0E+0	2.3E-14	2.6E-14	2.2E-14	1.6E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 5 µm	9.0E-13	Male	1.7E-14	2.0E-14	6.8E-12	8.4E-14	1.1E-14	0.0E+0	5.6E-15	1.0E-14	1.1E-13	3.8E-14	1.5E-14	1.7E-14	1.5E-14	1.5E-14	8.3E-15	2.9E-14	2.4E-12	3.4E-14	2.1E-14	3.9E-14	3.9E-14	9.1E-15	5.6E-14	2.7E-14	9.3E-15	1.8E-14	1.8E-14	1.5E-14	0.0E+0
		Female	2.2E-14	2.0E-14	7.3E-12	8.7E-14	1.3E-14	1.4E-14	0.0E+0	1.2E-14	1.2E-13	4.5E-14	2.2E-14	2.2E-14	1.8E-14	2.6E-14	8.3E-15	3.7E-14	2.9E-12	3.9E-14	2.4E-14	4.7E-14	3.3E-14	1.2E-14	8.3E-14	3.1E-14	0.0E+0	2.2E-14	2.3E-14	1.9E-14	1.5E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 10 µm	5.9E-13	Male	1.3E-14	1.7E-14	4.3E-12	7.9E-14	8.1E-15	0.0E+0	4.1E-15	7.8E-15	9.9E-14	2.9E-14	1.2E-14	1.3E-14	1.3E-14	1.3E-14	6.8E-15	2.2E-14	2.4E-12	2.6E-14	1.5E-14	2.9E-14	3.5E-14	6.9E-15	5.3E-14	2.2E-14	7.0E-15	1.5E-14	1.4E-14	1.1E-14	0.0E+0
		Female	1.6E-14	1.7E-14	4.7E-12	8.2E-14	9.1E-15	1.2E-14	0.0E+0	9.8E-15	1.1E-13	3.4E-14	1.7E-14	1.7E-14	1.5E-14	2.3E-14	6.5E-15	2.8E-14	2.9E-12	3.0E-14	1.7E-14	3.5E-14	2.8E-14	8.8E-15	8.0E-14	2.4E-14	0.0E+0	1.9E-14	1.9E-14	1.3E-14	1.2E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 20 µm	2.9E-13	Male	9.5E-15	1.4E-14	2.0E-12	6.9E-14	5.8E-15	0.0E+0	3.0E-15	5.9E-15	8.6E-14	2.1E-14	9.0E-15	9.8E-15	1.1E-14	1.0E-14	5.3E-15	1.6E-14	2.1E-12	1.9E-14	1.1E-14	2.2E-14	2.9E-14	5.1E-15	4.6E-14	1.7E-14	5.1E-15	1.2E-14	1.0E-14	7.1E-15	0.0E+0
		Female	1.2E-14	1.4E-14	2.2E-12	7.0E-14	6.4E-15	9.0E-15	0.0E+0	7.6E-15	9.6E-14	2.4E-14	1.3E-14	1.3E-14	1.2E-14	1.9E-14	5.0E-15	2.1E-14	2.6E-12	2.2E-14	1.1E-14	2.6E-14	2.1E-14	6.5E-15	6.9E-14	1.9E-14	0.0E+0	1.5E-14	1.4E-14	8.9E-15	9.6E-15
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.001 µm	5.5E-12	Male	9.5E-15	1.6E-14	4.4E-11	8.5E-14	7.3E-15	0.0E+0	1.9E-15	5.0E-15	1.1E-13	1.7E-14	1.5E-14	8.3E-15	1.1E-14	1.2E-14	5.4E-15	1.4E-14	2.7E-12	1.6E-14	1.8E-14	1.6E-14	4.2E-14	4.7E-15	5.7E-14	1.7E-14	3.8E-15	1.3E-14	1.3E-14	1.4E-14	0.0E+0
		Female	1.3E-14	1.7E-14	4.7E-11	8.5E-14	8.5E-15	9.3E-15	0.0E+0	7.4E-15	1.4E-13	1.9E-14	3.0E-14	1.1E-14	1.3E-14	2.3E-14	4.9E-15	1.7E-14	3.3E-12	1.7E-14	2.3E-14	1.9E-14	4.9E-14	6.3E-15	8.7E-14	1.7E-14	0.0E+0	1.6E-14	1.6E-14	1.9E-14	1.0E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.003 µm	1.2E-11	Male	3.7E-14	2.8E-14	9.4E-11	8.9E-14	3.8E-14	0.0E+0	6.8E-15	1.3E-14	1.3E-13	7.1E-14	4.8E-14	2.6E-14	1.6E-14	2.0E-14	1.3E-14	5.1E-14	1.7E-12	5.5E-14	8.9E-14	5.4E-14	6.3E-14	1.8E-14	4.8E-14	4.2E-14	1.2E-14	2.3E-14	5.3E-14	7.5E-14	0.0E+0
		Female	5.0E-14	2.6E-14	9.9E-11	9.0E-14	5.0E-14	1.8E-14	0.0E+0	1.5E-14	1.8E-13	8.1E-14	6.6E-14	3.4E-14	2.0E-14	3.2E-14	1.5E-14	6.2E-14	2.0E-12	6.2E-14	1.1E-13	6.3E-14	7.9E-14	2.2E-14	7.1E-14	4.3E-14	0.0E+0	2.8E-14	5.7E-14	9.6E-14	1.8E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.01 µm	8.0E-12	Male	1.1E-13	5.6E-14	6.4E-11	1.4E-13	1.2E-13	0.0E+0	1.7E-14	2.9E-14	2.5E-13	2.0E-13	1.4E-13	6.9E-14	3.2E-14	4.5E-14	3.3E-14	1.4E-13	6.7E-13	1.4E-13	2.7E-13	1.4E-13	1.3E-13	4.9E-14	5.6E-14	1.1E-13	2.8E-14	5.0E-14	1.6E-13	2.3E-13	0.0E+0
		Female	1.4E-13	4.6E-14	6.7E-11	1.4E-13	1.6E-13	3.5E-14	0.0E+0	3.1E-14	3.2E-13	2.3E-13	1.6E-13	9.0E-14	4.1E-14	6.3E-14	4.0E-14	1.7E-13	8.4E-13	1.7E-13	3.5E-13	1.6E-13	1.5E-13	6.1E-14	8.1E-14	1.1E-13	0.0E+0	5.7E-14	1.6E-13	2.9E-13	3.5E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.03 µm	4.2E-12	Male	9.2E-14	4.6E-14	3.4E-11	1.1E-13	1.0E-13	0.0E+0	1.4E-14	2.4E-14	2.0E-13	1.7E-13	1.2E-13	5.8E-14	2.6E-14	3.7E-14	2.7E-14	1.2E-13	3.3E-13	1.2E-13	2.4E-13	1.2E-13	1.1E-13	4.2E-14	4.2E-14	8.9E-14	2.4E-14	4.1E-14	1.4E-13	2.0E-13	0.0E+0
		Female	1.2E-13	3.7E-14	3.6E-11	1.2E-13	1.4E-13	2.9E-14	0.0E+0	2.6E-14	2.6E-13	1.9E-13	1.3E-13	7.6E-14	3.4E-14	5.2E-14	3.4E-14	1.5E-13	4.2E-13	1.4E-13	3.0E-13	1.4E-13	1.2E-13	5.2E-14	6.1E-14	9.0E-14	0.0E+0	4.7E-14	1.4E-13	2.5E-13	2.9E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.1 µm	2.0E-12	Male	4.6E-14	2.3E-14	1.6E-11	5.9E-14	5.1E-14	0.0E+0	7.2E-15	1.2E-14	1.0E-13	8.5E-14	5.8E-14	2.9E-14	1.3E-14	1.9E-14	1.4E-14	6.0E-14	2.4E-13	6.1E-14	1.2E-13	6.0E-14	5.4E-14	2.1E-14	2.3E-14	4.5E-14	1.2E-14	2.1E-14	6.8E-14	1.0E-13	0.0E+0
		Female	6.1E-14	1.9E-14	1.7E-11	6.0E-14	7.0E-14	1.5E-14	0.0E+0	1.3E-14	1.3E-13	9.7E-14	6.6E-14	3.8E-14	1.7E-14	2.6E-14	1.7E-14	7.3E-14	2.9E-13	7.1E-14	1.5E-13	6.9E-14	6.3E-14	2.6E-14	3.3E-14	4.5E-14	0.0E+0	2.4E-14	7.1E-14	1.3E-13	1.4E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 0.3 µm	1.4E-12	Male	3.3E-14	1.8E-14	1.1E-11	4.8E-14	3.7E-14	0.0E+0	5.2E-15	8.9E-15	8.3E-14	6.1E-14	4.2E-14	2.1E-14	1.0E-14	1.4E-14	1.0E-14	4.4E-14	3.8E-13	4.4E-14	8.5E-14	4.3E-14	4.1E-14	1.5E-14	2.0E-14	3.3E-14	8.6E-15	1.6E-14	4.9E-14	7.2E-14	0.0E+0
		Female	4.4E-14	1.4E-14	1.2E-11	4.9E-14	5.0E-14	1.1E-14	0.0E+0	9.6E-15	1.1E-13	7.0E-14	4.9E-14	2.8E-14	1.3E-14	2.1E-14	1.2E-14	5.3E-14	4.7E-13	5.1E-14	1.1E-13	5.0E-14	4.7E-14	1.9E-14	3.0E-14	3.3E-14	0.0E+0	1.8E-14	5.1E-14	9.1E-14	1.1E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 1 µm	1.0E-12	Male	2.5E-14	1.7E-14	7.7E-12	6.4E-14	2.8E-14	0.0E+0	4.0E-15	7.4E-15	9.6E-14	4.6E-14	3.3E-14	1.7E-14	1.1E-14	1.4E-14	8.7E-15	3.4E-14	1.3E-12	3.5E-14	6.3E-14	3.4E-14	4.1E-14	1.2E-14	3.5E-14	2.7E-14	6.8E-15	1.5E-14	3.8E-14	5.3E-14	0.0E+0
		Female	3.4E-14	1.5E-14	8.3E-12	6.4E-14	3.7E-14	1.0E-14	0.0E+0	8.7E-15	1.2E-13	5.3E-14	4.0E-14	2.2E-14	1.3E-14	2.2E-14	9.9E-15	4.1E-14	1.6E-12	4.0E-14	7.9E-14	3.9E-14	4.2E-14	1.5E-14	5.2E-14	2.8E-14	0.0E+0	1.7E-14	4.0E-14	6.7E-14	1.0E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 3 µm	1.0E-12	Male	2.1E-14	1.8E-14	7.9E-12	8.5E-14	2.2E-14	0.0E+0	3.3E-15	6.9E-15	1.2E-13	3.7E-14	2.8E-14	1.4E-14	1.2E-14	1.5E-14	8.2E-15	2.8E-14	2.2E-12	2.9E-14	5.0E-14	2.9E-14	4.6E-14	9.7E-15	5.2E-14	2.5E-14	5.9E-15	1.5E-14	3.1E-14	4.1E-14	0.0E+0
		Female	2.8E-14	1.7E-14	8.6E-12	8.5E-14	2.9E-14	1.0E-14	0.0E+0	8.8E-15	1.4E-13	4.3E-14	3.5E-14	1.9E-14	1.5E-14	2.6E-14	8.7E-15	3.4E-14	2.7E-12	3.3E-14	6.1E-14	3.3E-14	4.3E-14	1.2E-14	7.9E-14	2.6E-14	0.0E+0	1.9E-14	3.4E-14	5.2E-14	1.1E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 5 µm	9.1E-13	Male	1.6E-14	1.7E-14	6.9E-12	8.5E-14	1.6E-14	0.0E+0	2.6E-15	5.8E-15	1.2E-13	2.9E-14	2.2E-14	1.2E-14	1.2E-14	1.3E-14	7.0E-15	2.2E-14	2.5E-12	2.3E-14	3.7E-14	2.3E-14	4.3E-14	7.5E-15	5.4E-14	2.1E-14	4.8E-15	1.4E-14	2.4E-14	3.0E-14	0.0E+0
		Female	2.1E-14	1.6E-14	7.4E-12	8.6E-14	2.1E-14	9.4E-15	0.0E+0	7.8E-15	1.4E-13	3.2E-14	2.9E-14	1.5E-14	1.4E-14	2.5E-14	7.1E-15	2.6E-14	3.0E-12	2.6E-14	4.5E-14	2.6E-14	3.8E-14	9.7E-15	8.2E-14	2.2E-14	0.0E+0	1.7E-14	2.7E-14	3.8E-14	1.0E-14
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 10 µm	5.9E-13	Male	9.6E-15	1.3E-14	4.4E-12	7.7E-14	8.7E-15	0.0E+0	1.6E-15	4.0E-15	1.0E-13	1.7E-14	1.3E-14	7.6E-15	1.0E-14	1.1E-14	5.1E-15	1.3E-14	2.4E-12	1.5E-14	2.0E-14	1.4E-14	3.5E-14	4.6E-15	5.1E-14	1.5E-14	3.1E-15	1.1E-14	1.4E-14	1.5E-14	0.0E+0
		Female	1.3E-14	1.4E-14	4.7E-12	7.7E-14	1.1E-14	7.4E-15	0.0E+0	5.9E-15	1.2E-13	1.9E-14	1.9E-14	1.0E-14	1.1E-14	2.1E-14	4.7E-15	1.6E-14	3.0E-12	1.6E-14	2.3E-14	1.7E-14	2.8E-14	6.0E-15	7.8E-14	1.5E-14	0.0E+0	1.4E-14	1.7E-14	1.9E-14	8.3E-15
Inhalation, Aerosols Type M, All unspecified forms, fA=2E-2, 20 µm	2.9E-13	Male	5.4E-15	1.0E-14	2.0E-12	6.5E-14	4.2E-15	0.0E+0	9.3E-16	2.8E-15	8.4E-14	9.1E-15	7.8E-15	4.8E-15	8.1E-15	8.3E-15	3.6E-15	7.6E-15	2.2E-12	9.0E-15	9.6E-15	8.6E-15	2.7E-14	2.7E-15	4.4E-14	1.0E-14	2.0E-15	8.4E-15	7.8E-15	6.7E-15	0.0E+0
		Female	7.4E-15	1.1E-14	2.2E-12	6.5E-14	5.1E-15	5.6E-15	0.0E+0	4.4E-15	9.4E-14	1.0E-14	1.1E-14	6.4E-15	9.1E-15	1.7E-14	3.1E-15	9.4E-15	2.7E-12	9.2E-15	1.0E-14	1.0E-14	1.9E-14	3.6E-15	6.8E-14	1.1E-14	0.0E+0	1.1E-14	1.1E-14	8.6E-15	6.4E-15
Inhalation, Aerosols Type S, Cobalt oxide, FAP, PSL, fA=1E-3, 0.001 µm	5.6E-12	Male	1.1E-14	1.5E-14	4.4E-11	8.6E-14	1.1E-14	0.0E+0	4.0E-16	2.8E-15	1.4E-13	1.3E-14	4.0E-14	6.4E-15	1.1E-14	1.9E-14	5.2E-15	1.0E-14	3.0E-12	1.1E-14	3.1E-14	8.1E-15	1.0E-13	4.6E-15	7.0E-14	1.4E-14	1.5E-15	1.1E-14	1.6E-14	3.3E-14	0.0E+0
		Female	1.5E-14	1.5E-14	4.7E-11	8.5E-14	1.4E-14	6.8E-15	0.0E+0	5.2E-15	1.7E-13	1.3E-14	6.5E-14	9.1E-15	1.3E-14	4.2E-14	4.8E-15	1.2E-14	3.7E-12	1.0E-14	3.9E-14	9.2E-15	1.3E-13	6.3E-15	1.2E-13	1.3E-14	0.0E+0	1.4E-14	1.9E-14	4.1E-14	8.2E-15
Inhalation, Aerosols Type S, Cobalt oxide, FAP, PSL, fA=1E-3, 0.003 µm	1.2E-11	Male	1.3E-13	4.6E-14	9.5E-11	2.0E-13	1.7E-13	0.0E+0	2.1E-15	7.8E-15	4.7E-13	1.8E-13	3.1E-13	5.0E-14	2.0E-14	5.3E-14	3.2E-14	1.2E-13	1.9E-12	1.0E-13	4.4E-13	7.1E-14	3.8E-13	4.9E-14	7.8E-14	8.9E-14	5.2E-15	3.7E-14	2.2E-13	4.3E-13	0.0E+0
		Female	1.7E-13	2.9E-14	1.0E-10	1.8E-13	2.4E-13	1.2E-14	0.0E+0	9.6E-15	6.2E-13	2.0E-13	4.1E-13	6.9E-14	2.7E-14	8.4E-14	4.1E-14	1.3E-13	2.3E-12	1.1E-13	5.5E-13	7.6E-14	4.6E-13	6.2E-14	1.3E-13	7.5E-14	0.0E+0	3.6E-14	2.2E-13	5.2E-13	1.3E-14
Inhalation, Aerosols Type S, Cobalt oxide, FAP, PSL, fA=1E-3, 0.01 µm	8.8E-12	Male	4.7E-13	1.4E-13	6.7E-11	5.8E-13	6.5E-13	0.0E+0	6.9E-15	2.3E-14	1.5E-12	6.8E-13	1.1E-12	1.8E-13	5.6E-14	1.6E-13	1.2E-13	4.5E-13	8.8E-13	3.7E-13	1.7E-12	2.6E-13	1.2E-12	1.8E-13	1.6E-13	3.2E-13	1.6E-14	1.2E-13	8.4E-13	1.6E-12	0.0E+0
		Female	6.4E-13	6.9E-14	7.1E-11	5.2E-13	9.3E-13	2.6E-14	0.0E+0	2.3E-14	2.0E-12	7.5E-13	1.4E-12	2.5E-13	7.7E-14	2.4E-13	1.5E-13	5.1E-13	1.1E-12	4.2E-13	2.1E-12	2.8E-13	1.4E-12	2.3E-13	2.6E-13	2.7E-13	0.0E+0	1.1E-13	8.1E-13	1.9E-12	2.6E-14
Inhalation, Aerosols Type S, Cobalt oxide, FAP, PSL, fA=1E-3, 0.03 µm	5.0E-12	Male	4.1E-13	1.2E-13	3.7E-11	5.0E-13	5.7E-13	0.0E+0	6.0E-15	1.9E-14	1.3E-12	5.9E-13	9.5E-13	1.6E-13	4.8E-14	1.4E-13	1.0E-13	3.9E-13	4.9E-13	3.2E-13	1.5E-12	2.3E-13	1.0E-12	1.6E-13	1.3E-13	2.8E-13	1.4E-14	1.0E-13	7.3E-13	1.4E-12	0.0E+0
		Female	5.6E-13	5.8E-14	3.9E-11	4.5E-13	8.2E-13	2.2E-14	0.0E+0	1.9E-14	1.7E-12	6.6E-13	1.2E-12	2.2E-13	6.6E-14	2.1E-13	1.3E-13	4.4E-13	6.6E-13	3.6E-13	1.8E-12	2.4E-13	1.2E-12	2.0E-13	2.2E-13	2.3E-13	0.0E+0	9.4E-14	7.1E-13	1.7E-12	2.2E-14
